 ;РЕГИОНЫ РОССИИ;УЛАВЛИВАНИЕ ЗАГРЯЗНЯЮЩИХ АТМОСФЕРУ ВЕЩЕСТВ, ОТХОДЯЩИХ ОТ СТАЦИОНАРНЫХ ИСТОЧНИКОВ;ВЫБРОСЫ ЗАГРЯЗНЯЮЩИХ ВЕЩЕСТВ В АТМОСФЕРНЫЙ ВОЗДУХ, ОТХОДЯЩИХ ОТ СТАЦИОНАРНЫХ ИСТОЧНИКОВ;СБРОС ЗАГРЯЗНЕННЫХ СТОЧНЫХ ВОД В ПОВЕРХНОСТНЫЕ ВОДНЫЕ ОБЪЕКТЫ;ИСПОЛЬЗОВАНИЕ СВЕЖЕЙ ВОДЫ;ОБЪЕМ ОБОРОТНОЙ И ПОСЛЕДОВАТЕЛЬНО ИСПОЛЬЗУЕМОЙ ВОДЫ;ЧИСЛО БОЛЬНИЧНЫХ КОЕК НА 10 000 ЧЕЛОВЕК НАСЕЛЕНИЯ;ЧИСЛО БОЛЬНИЧНЫХ КОЕК;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ НА ОДНУ БОЛЬНИЧНУЮ КОЙКУ;ЧИСЛЕННОСТЬ ВРАЧЕЙ ВСЕХ СПЕЦИАЛЬНОСТЕЙ;ЧИСЛЕННОСТЬ СРЕДНЕГО МЕДИЦИНСКОГО ПЕРСОНАЛА НА 10 000 ЧЕЛОВЕК НАСЕЛЕНИЯ;ЧИСЛЕННОСТЬ СРЕДНЕГО МЕДИЦИНСКОГО ПЕРСОНАЛА;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ НА ОДНОГО РАБОТНИКА СРЕДНЕГО МЕДИЦИНСКОГО ПЕРСОНАЛА;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ НА ОДНОГО ВРАЧА;ПРЕРЫВАНИЕ БЕРЕМЕННОСТИ НА 100 РОДОВ;ПРЕРЫВАНИЕ БЕРЕМЕННОСТИ НА 1000 ЖЕНЩИН 15-49 ЛЕТ;МОЩНОСТЬ АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКИХ ОРГАНИЗАЦИЙ НА 10 000 ЧЕЛОВЕК НАСЕЛЕНИЯ, ПОСЕЩЕНИЙ В СМЕНУ;МОЩНОСТЬ АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКИХ ОРГАНИЗАЦИЙ;№1 ЗАБОЛЕВАЕМОСТЬ НА 1000 ЧЕЛОВЕК НАСЕЛЕНИЯ;№2 ВРОЖДЕННЫЕ АНОМАЛИИ;№3 БОЛЕЗНИ ОРГАНОВ ПИЩЕВАРЕНИЯ;№4 БОЛЕЗНИ КОСТНО-МЫШЕЧНОЙ СИСТЕМЫ И СОЕДИНИТЕЛЬНОЙ ТКАНИ;№5  БОЛЕЗНИ МОЧЕПОЛОВОЙ СИСТЕМЫ;№6 БОЛЕЗНИ НЕРВНОЙ СИСТЕМЫ;№7  ТРАВМЫ, ОТРАВЛЕНИЯ И НЕКОТОРЫЕ ДРУГИЕ ПОСЛЕДСТВИЯ ВОЗДЕЙСТВИЯ ВНЕШНИХ ПРИЧИН;№8 БОЛЕЗНИ СИСТЕМЫ КРОВООБРАЩЕНИЯ;№9 БОЛЕЗНИ КРОВИ, КРОВЕТВОРНЫХ ОРГАНОВ И ОТДЕЛЬНЫЕ НАРУШЕНИЯ, ВОВЛЕКАЮЩИЕ ИММУННЫЙ МЕХАНИЗМ;№10 БОЛЕЗНИ ОРГАНОВ ДЫХАНИЯ;№11 БОЛЕЗНИ УХА И СОСЦЕВИДНОГО ОТРОСТКА;№12 БОЛЕЗНИ ЭНДОКРИННОЙ СИСТЕМЫ, РАССТРОЙСТВА ПИТАНИЯ И НАРУШЕНИЯ ОБМЕНА ВЕЩЕСТВ;№13 БОЛЕЗНИ КОЖИ И ПОДКОЖНОЙ КЛЕТЧАТКИ;№14 БОЛЕЗНИ ГЛАЗА И ЕГО ПРИДАТОЧНОГО АППАРАТА;№15 НЕКОТОРЫЕ ИНФЕКЦИОННЫЕ И ПАРАЗИТАРНЫЕ БОЛЕЗНИ;№16 НОВООБРАЗОВАНИЯ;Число зарегистрированных преступлений на 100 000 человек населения;Общая площадь жилых помещений, приходящаяся в среднем на одного жителя ;Численность населения;Число собственных легковых автомобилей на 1000 человек населения ;Численность населения с денежными доходами ниже величины прожиточного минимума;Реальные доходы населения;Среднедушевые денежные доходы населения;Численность безработных;Уровень безработицы;Средний размер назначенных пенсий;Численность пенсионеров (на 1000 чел.);Общие коэффициенты рождаемости ;Общие коэффициенты смертности; Потребление мяса и мясопродуктов на душу населения;Потребление молока и молочных продуктов на душу населения;Потребления яиц на душу населения;Потребления сахара на душу населения;Потребление картофеля на душу населения;Потребление овощей и продовольственных бахчевых культур на душу населения;Потребление растительного масла на душу населения;Потребление  хлебных продуктов на душу населения
2005;Белгородская область;911;102;11;314;1618;111,5;16,9;89,7;6;117,8;17,8;84,9;252,4;94;31;224,2;33,9;780;1;29,8;49,3;57,1;28,2;89,2;45,6;4,2;255;28;8,8;48,3;52,5;40,1;13,5;1670;23;1512;160,4;18,1;112,7;5276;42;5,9;2374,5;305,5556;8,9;16;72;226;279;48;153;105;12,8;138
;Брянская область;737;49;89;130;60;127,4;16,9;78,5;4,8;113,7;15,1;88;274,4;138;47;224,5;29,8;756,4;1;37,5;40,8;36,7;18,1;82,4;25;2,9;297,1;25,5;16,3;60;36,3;33,3;10,5;2316;23,1;1327;82,4;20;112,8;4788;44;6,8;2395,8;314,9962;9;19,8;59;268;223;36;187;105;9,6;115
;Владимирская область;9;29;155;189;338;104,2;15,5;96;5;101,8;15,1;98,2;297,2;134;46;299,8;44,6;877,6;1,4;30,3;44,7;58,6;16,7;87,5;19,5;3,2;390,8;31,3;9,7;64,9;40,6;42;11,6;2491;23;1486;137,5;29,5;106,5;4107;73;9;2535,6;304,1723;9,1;20,2;37;199;258;35;167;121;10,9;118
;Воронежская область;42;52;169;556;2524;107,1;25,3;93,4;12,5;117,6;27,8;85,1;188,4;151;48;208,5;49,2;525,4;0,7;25,1;22,3;31,3;12,1;53,3;22,4;2,3;201,9;16,4;7,6;34,3;26;23,2;8;1886;23,4;2361;181,4;23,7;116,1;5398;88;7,6;2392,5;313,4265;8,2;18,5;49;238;254;52;165;101;12;148
;Ивановская область;30;40;144;216;196;125,7;13,9;79,5;5,6;135,5;14,9;73,8;196;120;40;207,7;22,9;824,5;1,8;20,6;31;46,3;15,8;90,8;31,6;2,2;371,5;34,9;12,6;56,3;41,8;29,1;11,5;2381;22,4;1102;116,9;41,3;108;3480;40;6,9;2496,3;302,1779;8,7;22;43;186;215;32;90;79;12;120
;Калужская область;106;12;99;145;145;115,2;11,8;86,8;4;102,8;10,5;97,3;258;127;42;253,2;25,9;777,4;1,5;29,4;46;49,2;25,2;56,8;30,8;3,1;343,4;23,7;8,2;54,3;36,9;31,1;9,8;2560;22,9;1023;161,3;19,9;112,4;5343;31;5,6;2518,1;286,4125;8,8;19,1;52;212;242;29;131;103;9,6;105
;Костромская область;173;52;64;1574;188;158;11,1;63,3;2,6;122,6;8,6;81,5;272,5;134;49;214,9;15;682,6;0,7;22,5;27,5;30,9;11,4;83,8;19,4;1,9;318;21,3;5,3;37,6;24,6;32,3;9,3;2440;23,8;700;135,8;23,2;114,7;4985;18;4,9;2453,6;302,8571;9,8;21,3;37;211;329;26;137;157;8,4;105
;Курская область;26;27;34;323;6046;114,2;13,4;87,6;5,9;115,7;13,6;86,4;199,9;126;42;226,9;26,7;635,8;1,5;60;31,4;38,5;10,9;76,1;17,8;1,7;236,5;20,2;8,2;35,7;30,3;32,5;7,9;2199;23,2;1178;141,5;20,2;108,7;5218;44;7,2;2277,7;324,2784;8,6;19,8;57;220;253;48;169;109;9,2;147
;Липецкая область;1291;378;127;251;2042;132,2;15,8;75,6;4,8;126,2;15,1;79,3;251;120;42;302,5;36,1;710,3;0,7;19,8;24,6;46,1;6,8;84,3;14,2;1,5;326,1;33,4;5,6;47,3;28,2;28,5;9,8;1568;22,7;1194;171;15,4;112,3;5591;48;8,2;2391;307,3702;9,2;17,7;55;222;260;56;168;101;12;143
;Московская область;1032;167;635;1486;3419;110,5;75;90,5;23,5;82,8;56,1;120,8;288,2;101;33;259,1;175,8;595,5;0,6;18,1;23,3;26,5;11,4;67,2;15,7;1,6;293,5;17,5;5,2;39,9;21,9;27,1;7,6;1756;24,3;6784;227;18,4;114,3;7445;118;3,2;2669,6;260,4658;8,8;17,1;71;243;284;40;127;88;12;108
;Орловская область;5;13;68;122;362;118,9;9,8;84,1;3,1;116,1;9,5;86,2;265,6;136;45;230,3;18,9;828,5;2,3;34,8;45,2;66,6;13,3;98,8;27,6;2,4;290,1;34,4;8,7;61,3;49,9;35,5;13,8;2256;22,2;822;164;23,5;109,8;4857;26;6,3;2468,2;318,7348;8,7;18,8;80;204;322;37;204;98;8,9;145
;Рязанская область;454;141;20;223;2182;118,7;14,1;84,2;6,3;117,4;14;85,2;187,8;138;46;228,5;27,2;651,3;1,2;22,5;27;45,7;9,5;80,1;21,2;1,9;245,3;22,1;8,6;47,2;28,7;51,7;13;1457;23,4;1189;159,1;22,7;115,7;4775;32;5,2;2416;330,5299;8,4;20,2;53;232;300;35;157;106;9,4;126
;Смоленская область;146;34;90;214;4713;125,3;12,9;79,8;6,1;111,6;11,4;89,6;167,5;132;42;250,4;25,7;768,1;2,3;24,3;42,8;42,1;12;77,2;28,2;3,7;328,1;31,5;9;50,3;32,9;41,5;8,8;2824;23,3;1025;171,2;18,1;108,9;5483;41;7,7;2432;298,5366;8,5;21,2;49;234;246;43;184;105;10,1;122
